,lecturer,type,duration,rooms,groups
0,48,Exercises,135,[40],[0]
1,59,Exercises,135,"[53, 65, 54, 13]",[0]
2,13,Exercises,135,"[44, 67]",[0]
3,38,Lecture,135,"[6, 9]","[77, 90]"
4,9,Exercises,135,"[12, 59]",[0]
5,37,Exercises,135,"[33, 13, 36]",[0]
6,32,Exercises,135,"[32, 9, 36]",[0]
7,23,Lecture,135,"[32, 28, 53, 27]","[72, 67, 91, 22]"
8,50,Exercises,135,"[48, 45, 55, 25]",[0]
9,38,Exercises,135,"[39, 23, 34]",[0]
10,24,Exercises,135,"[12, 15, 6, 55]",[0]
11,29,Exercises,135,"[13, 37, 46, 39]",[0]
12,29,Exercises,135,[61],[0]
13,57,Exercises,135,"[12, 50, 58]",[0]
14,8,Exercises,135,"[8, 47]",[0]
15,45,Exercises,135,"[30, 42]",[0]
16,35,Exercises,135,[10],[0]
17,23,Exercises,135,[35],[0]
18,16,Exercises,135,"[59, 46, 55, 8]",[0]
19,4,Lecture,135,"[30, 65, 16, 35]","[75, 10, 0, 2, 71]"
20,49,Exercises,135,"[54, 43, 64, 28]",[0]
21,37,Exercises,135,[54],[0]
22,35,Lecture,135,"[3, 6, 50]","[2, 62, 47, 39, 53, 56]"
23,64,Lecture,135,"[51, 55, 30]","[61, 21, 51, 55, 49]"
24,4,Exercises,135,"[67, 6]",[0]
25,60,Exercises,135,[0],[0]
26,32,Exercises,135,"[55, 52, 0, 36]",[0]
27,30,Exercises,135,[23],[0]
28,0,Exercises,135,[64],[0]
29,20,Exercises,135,"[39, 43, 44, 20]",[0]
30,10,Exercises,135,[46],[0]
31,7,Exercises,135,"[11, 44, 63, 4]",[0]
32,15,Lecture,135,[15],[12]
33,41,Lecture,135,"[50, 0, 5]","[62, 6, 57, 78, 16]"
34,55,Exercises,135,[0],[0]
35,42,Exercises,135,[37],[0]
36,2,Exercises,135,"[8, 12, 15, 42]",[0]
37,46,Exercises,135,"[33, 31, 6, 37]",[0]
38,63,Lecture,135,"[64, 52]","[88, 44, 13, 51]"
39,60,Lecture,135,"[13, 62, 2, 3]","[9, 61]"
40,61,Exercises,135,"[19, 21, 10]",[0]
41,64,Exercises,135,"[31, 29]",[0]
42,19,Exercises,135,"[46, 61]",[0]
43,11,Exercises,135,"[9, 33, 35, 42]",[0]
44,58,Exercises,135,"[56, 3, 20]",[0]
45,21,Exercises,135,"[27, 66, 8, 56]",[0]
46,11,Exercises,135,"[48, 45]",[0]
47,31,Exercises,135,"[35, 9, 41, 6]",[0]
48,26,Exercises,135,"[30, 59, 34]",[0]
49,22,Exercises,135,[21],[0]
50,29,Exercises,135,"[32, 6]",[0]
51,65,Exercises,135,"[24, 18]",[0]
52,9,Exercises,135,"[9, 40, 30, 48]",[0]
53,16,Lecture,135,"[42, 8, 48, 31]","[82, 15, 67]"
54,58,Exercises,135,[50],[0]
55,26,Exercises,135,"[15, 10, 23]",[0]
56,32,Exercises,135,"[41, 48, 4, 42]",[0]
57,60,Lecture,135,"[19, 32, 24]","[84, 46, 68, 31, 45, 48]"
58,58,Exercises,135,"[0, 54, 61, 20]",[0]
59,47,Lecture,135,[2],"[28, 48, 24, 64]"
60,56,Exercises,135,"[42, 56, 22]",[0]
61,57,Exercises,135,[28],[0]
62,34,Exercises,135,"[54, 39, 17, 8]",[0]
63,36,Exercises,135,"[9, 53, 11]",[0]
64,40,Exercises,135,"[54, 37, 65, 25]",[0]
65,13,Exercises,135,[16],[0]
66,8,Lecture,135,"[46, 50, 62, 11]","[3, 23, 82, 51, 31, 38]"
67,25,Exercises,135,[35],[0]
68,51,Exercises,135,"[8, 39, 12, 21]",[0]
69,3,Exercises,135,[48],[0]
70,57,Exercises,135,"[63, 46, 30]",[0]
71,49,Exercises,135,[59],[0]
72,64,Exercises,135,"[26, 16, 47]",[0]
73,33,Exercises,135,"[41, 48, 61, 13]",[0]
74,51,Exercises,135,"[22, 7]",[0]
75,2,Exercises,135,[54],[0]
76,14,Exercises,135,"[42, 2, 32]",[0]
77,62,Exercises,135,[22],[0]
78,16,Exercises,135,[48],[0]
79,38,Exercises,135,"[42, 15, 28]",[0]
80,37,Exercises,135,"[1, 19, 5]",[0]
81,25,Exercises,135,"[31, 5]",[0]
82,50,Exercises,135,"[59, 21]",[0]
